                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5429,                   3.02,                 3.0419,                0.71027,                0.61691,                0.66018,                0.29838,                 1.8805,                 1.9867,                 2.3178,             0.00066506,             0.00066506,             0.00066506
                      2,                 1.6795,                  1.376,                 1.9238,                0.86633,                0.69287,                0.78946,                0.46662,                 1.5131,                 1.4327,                 1.8406,              0.0012438,              0.0012438,              0.0012438
                      3,                  1.532,                 1.1255,                 1.7746,                0.89915,                 0.7302,                0.82384,                 0.5155,                 1.4707,                 1.2117,                 1.7919,              0.0017346,              0.0017346,              0.0017346
                      4,                 1.4519,                 1.0023,                 1.6948,                0.92719,                0.83493,                0.90727,                0.57129,                 1.3518,                 0.9271,                 1.6984,               0.001604,               0.001604,               0.001604
                      5,                 1.4022,                 0.9342,                 1.6442,                0.93957,                0.84341,                0.91117,                0.56752,                 1.3461,                0.95328,                 1.6567,               0.001604,               0.001604,               0.001604
                      6,                 1.2965,                0.80495,                 1.6035,                0.94047,                0.84842,                0.92911,                0.59979,                 1.2804,                0.82648,                 1.6053,               0.001472,               0.001472,               0.001472
                      7,                 1.2646,                0.75098,                 1.5716,                0.93643,                0.81838,                 0.9044,                 0.5888,                 1.3053,                0.87373,                 1.6215,                0.00134,                0.00134,                0.00134
                      8,                 1.2418,                0.69731,                  1.541,                0.94767,                0.89046,                0.94859,                0.61826,                 1.2749,                0.72519,                 1.5918,               0.001208,               0.001208,               0.001208
                      9,                 1.2183,                0.66254,                 1.5192,                0.93196,                0.83045,                0.89996,                0.59222,                 1.2761,                 0.8798,                 1.5991,               0.001076,               0.001076,               0.001076
                     10,                 1.2124,                0.64178,                 1.5051,                0.95253,                0.90688,                0.95971,                0.64926,                 1.1836,                0.64722,                 1.5052,               0.000944,               0.000944,               0.000944
                     11,                 1.1852,                0.62057,                 1.4775,                0.95368,                0.91108,                0.96166,                0.64511,                 1.2019,                0.64069,                 1.5019,               0.000812,               0.000812,               0.000812
                     12,                 1.1749,                0.59332,                 1.4585,                0.95676,                0.92446,                0.96332,                0.65918,                 1.1815,                0.60023,                 1.4755,                0.00068,                0.00068,                0.00068
                     13,                 1.1559,                0.57274,                 1.4386,                0.95856,                0.92266,                0.96699,                0.66494,                 1.1674,                0.58541,                 1.4651,               0.000548,               0.000548,               0.000548
                     14,                 1.1431,                0.54779,                  1.433,                0.96732,                0.93705,                0.96999,                0.67106,                 1.1495,                0.56962,                 1.4471,               0.000416,               0.000416,               0.000416
                     15,                 1.1295,                0.53258,                 1.4208,                0.97171,                0.93673,                0.97293,                0.68387,                 1.1277,                0.53744,                 1.4181,               0.000284,               0.000284,               0.000284
